Company,Company_Name,Market_Cap_Cr,PE_Ratio,PB_Ratio,EV_EBITDA,Dividend_Yield_%,ROE_%,Revenue_Growth_QoQ_%,Profit_Margin_%,Category,Valuation_Score,Final_Recommendation
TCS,Tata Consultancy Services,1093350,22.19,11.62,16.2,4.17,51.24,1.32,20.2,Large Cap,1.2757451113937475,Strong Buy
INFY,Infosys,601310,22.05,6.87,15.8,2.97,28.72,7.54,17.1,Large Cap,1.2052708778734267,Strong Buy
HCLTECH,HCL Technologies,404282,23.8,5.8,17.9,4.03,23.01,8.17,15.2,Large Cap,1.123625184091526,Buy
WIPRO,Wipro,258710,19.22,3.34,14.2,2.43,14.88,0.78,15.7,Large Cap,1.2177149440953279,Strong Buy
LTIM,LTIMindtree,151376,32.08,6.67,19.8,1.27,22.89,7.63,12.7,Large Cap,0.9722429298345915,Hold
TECHM,Tech Mahindra,145569,32.05,5.31,18.7,3.03,8.83,2.66,8.5,Large Cap,0.8029823222207484,Sell
PERSISTENT,Persistent Systems,82720,54.46,13.09,24.5,0.66,22.06,21.79,12.8,Mid Cap,0.9439382826748537,Sell
OFSS,Oracle Financial Services,74614,31.03,8.92,19.2,3.08,28.24,6.36,34.6,Mid Cap,1.134698823403606,Buy
COFORGE,Coforge,54913,57.18,8.61,26.8,0.93,22.42,56.49,9.7,Mid Cap,1.4030175711437733,Strong Buy
MPHASIS,Mphasis,51751,29.72,5.37,18.9,2.1,17.68,9.06,11.8,Mid Cap,1.0033700272284272,Hold
